CWNS_ID,FACILITY_ID_x,STATE_CODE_x,DISCHARGE_TYPE,PRESENT_DISCHARGE_PERCENTAGE,PROJECTED_DISCHARGE_PERCENTAGE,DISCHARGES_TO_CWNSID,FACILITY_ID_y,STATE_CODE_y,FLOW_TYPE,CURRENT_DESIGN_FLOW,FUTURE_DESIGN_FLOW,Reuse_Volume
48000105001,1182799,TX,Reuse: Impoundments,0,10,,1182799.0,TX,Total Flow,17.44,17.44,0.0
48071241001,3150676,TX,Reuse: Landscape-related irrigation,0,100,,3150676.0,TX,Total Flow,0.0,0.35,0.0
48002019001,1183118,TX,Reuse: Landscape-related irrigation,100,100,,1183118.0,TX,Total Flow,0.05,0.05,0.05
48004354016,2808380,TX,Reuse: Irrigation,100,100,,2808380.0,TX,Total Flow,5.0,10.0,5.0
48001203009,1182982,TX,Reuse: Irrigation,50,50,,1182982.0,TX,Total Flow,2.5,2.5,1.25
48001311001,1183053,TX,Reuse: Environmental restoration and groundwater discharge,100,100,,1183053.0,TX,Total Flow,0.22,0.22,0.22
48002016001,1183115,TX,Reuse: Irrigation,100,100,,1183115.0,TX,Total Flow,0.08,0.08,0.08
48000166001,1182847,TX,Reuse: Irrigation,100,100,,1182847.0,TX,Total Flow,0.25,0.25,0.25
48001021001,1182889,TX,Reuse: Industrial,100,100,,1182889.0,TX,Total Flow,0.92,0.92,0.92
48001215001,1182994,TX,Reuse: Environmental restoration and groundwater discharge,100,100,,1182994.0,TX,Total Flow,0.075,0.075,0.075
48004369001,1183538,TX,Reuse: Landscape-related irrigation,100,100,,1183538.0,TX,Total Flow,0.04,0.04,0.04
48007064004,3537876,TX,Reuse: Industrial,100,100,,3537876.0,TX,Total Flow,15.7,15.7,15.7
48005229001,2807320,TX,Reuse: Irrigation,100,100,,2807320.0,TX,Total Flow,0.05,0.05,0.05
48002069001,1183148,TX,Reuse: Irrigation,100,100,,1183148.0,TX,Total Flow,0.266,0.266,0.266
48004224001,1183476,TX,Reuse: Irrigation,100,100,,1183476.0,TX,Total Flow,0.1,0.1,0.1
48001043001,1182900,TX,Reuse: Irrigation,100,100,,1182900.0,TX,Total Flow,0.06,0.06,0.06
48001166002,1182961,TX,Reuse: Irrigation,100,100,,1182961.0,TX,Total Flow,0.012,0.045,0.012
48004202001,1227850,TX,Reuse: Agricultural-related and livestock watering,100,100,,1227850.0,TX,Total Flow,0.02,0.02,0.02
48004122011,3514356,TX,Reuse: Industrial,0,45,,3514356.0,TX,Total Flow,0.0,10.0,0.0
