"CWNS_ID","FACILITY_ID","LOCATION_TYPE","LATITUDE","LONGITUDE","DATUM","ADDRESS","ADDRESS_2","CITY","STATE_CODE","ZIP_CODE","COUNTY_FIPS","COUNTY_NAME"
"48000131001",1227743,"Point","34.261036","-99.529944","NAD83","2MI N-NE INTX FM 91 AND FM 924","","Chillicothe","TX","79225","",""
"48004234001",1227859,"Point","33.2464","-97.562","NAD83","1300F E. FMR 51 1M AND US HWY 81","","Decatur","TX","76234","",""
"48005126001",1227892,"Point","33.1415","-95.9713","NAD83","0.75MI SW N INTX ST HWY 50 AND FM 499","","Campbell","TX","75422","",""
"48005258001",1227895,"Point","31.4866","-94.9312","NAD83","900' N OF US HWY 69 ON W SIDE OF RED BAYOU","","Wells","TX","75976","",""
"48000125001",1182813,"Point","35.4285","-100.8031","NAD83","1300 FT S ST HWY 273","","Lefors","TX","79054","",""
"48000159001",1182840,"Point","33.9022","-100.8472","NAD83","209 Broadway","","Roaring Springs","TX","79256","",""
"48001235001",1183014,"Point","28.330833","-98.105277","NAD83","N SIDE OF TIMON CREEK 500' ESE OF INTX OF HWY 59","","George West","TX","78022","",""
"48006027001",1183699,"Point","31.1881","-94.7814","NAD83","1500' W OF XING OF WHITE OAK C","","Diboll","TX","75941","",""
"48006049001",1183712,"Point","31.041556","-95.119639","NAD83","ON COLETO RD ADJACENT TO KICKA","","Groveton","TX","75845","",""
"48006061001",1183718,"Point","31.942696","-94.231392","NAD83","","","Tenaha","TX","75974","",""
"48006157001",1183756,"Point","30.8185","-95.235194","NAD83","Rustling Wind St","","Pointblank","TX","77364","",""
"48007030001",1183810,"Point","29.3523","-94.9834","NAD83","1300' S INTX WOODLAND","","La Marque","TX","77568","",""
"48007737001",1184246,"Point","29.8806","-95.6259","NAD83","14310 SPENCER ROAD,HORSEPEN CK","","Houston","TX","77057","",""
"48007762001",1184258,"Point","29.7244","-95.6252","NAD83","2000FT W SYNOTT RD AND HWY 6","","Houston","TX","77002","",""
"48008119001",1184436,"Point","29.5725","-98.6667","NAD83","9331 Tyler Oaks","","Helotes","TX","78023","",""
"48009016001",1184478,"Point","31.7361","-99.9331","NAD83","P.O. Box 497","700 Railroad Avenue","Ballinger","TX","78621","",""
"48001147001",1182950,"Point","26.3673","-98.8041","NAD83","N BANK OF RIO GRANDE,0.5MI UPSTREAM OF FM 755","","Rio Grande City","TX","78582","",""
"48001210001",1182990,"Point","28.0612","-97.8622","NAD83","1.25M NW STHWY 198 & FMR 1068","","Mathis","TX","78368","",""
"48001403001",1183075,"Point","29.5294","-96.0575","NAD83","106 FITZGERALD STREET","","East Bernard","TX","77435","",""
"48002021001",1183119,"Point","32.7528","-99.8839","NAD83","1314 Commercial Ave.","","Anson","TX","79501","",""
