"CWNS_ID","FACILITY_ID","STATE_CODE","COUNTY_FIPS","COUNTY_NAME","COUNTY_PRIMARY_FLAG"
"48002062001",1183143,"TX","48207","Haskell","Y"
"48006022001",417949,"TX","48347","Nacogdoches","Y"
"48007039012",1183827,"TX","48201","Harris","Y"
"48003069001",1183223,"TX","48133","Eastland","Y"
"48003084001",1183235,"TX","48221","Hood","Y"
"48005060001",1183612,"TX","48343","Morris","Y"
"48002008001",1183111,"TX","48303","Lubbock","Y"
"48007039084",1183851,"TX","48201","Harris","Y"
"48007039001",1183820,"TX","48201","Harris","Y"
"48009045001",1184491,"TX","48083","Coleman","Y"
"48006047002",1183710,"TX","48225","Houston","Y"
"48008045001",1184392,"TX","48029","Bexar","Y"
"48001176002",441461,"TX","48215","Hidalgo","Y"
"48009002001",1184466,"TX","48399","Runnels","Y"
"48003009001",1227803,"TX","48027","Bell","Y"
"48001127001",1182930,"TX","48323","Maverick","Y"
"48006066002",1183724,"TX","48471","Walker","Y"
"48002025002",453323,"TX","48479","Webb","Y"
"48001162001",1182958,"TX","48061","Cameron","Y"
"48003031001",1183194,"TX","48309","McLennan","Y"
"48003114001",1183259,"TX","48161","Freestone","Y"
"48006043002",1183706,"TX","48199","Hardin","Y"
"48007039022",1183831,"TX","48201","Harris","Y"
"48007039017",1183828,"TX","48201","Harris","Y"
"48001007004",1182877,"TX","48105","Crockett","Y"
"48000115001",1227740,"TX","48487","Wilbarger","Y"
"48001125002",1182928,"TX","48479","Webb","Y"
"48007039021",1183830,"TX","48201","Harris","Y"
"48003200002",432079,"TX","48185","Grimes","Y"
"48001106001",1182911,"TX","48061","Cameron","Y"
"48004075001",1183386,"TX","48139","Ellis","Y"
"48007033001",1183814,"TX","48201","Harris","Y"
"48007305001",1184059,"TX","48339","Montgomery","Y"
"48004026801",3507483,"TX","48113","Dallas","Y"
"48001125001",1182927,"TX","48479","Webb","Y"
"48003033002",1183197,"TX","48453","Travis","Y"
"48007039003",1183822,"TX","48201","Harris","Y"
"48007039047",1183839,"TX","48201","Harris","Y"
"48004223001",1183475,"TX","48497","Wise","Y"
"48007039813",2885344,"TX","48201","Harris","Y"
"48001246001",1183023,"TX","48481","Wharton","Y"
"48005049001",1183605,"TX","48147","Fannin","Y"
"48005021001",1227872,"TX","48277","Lamar","Y"
"48001131003",1182937,"TX","48061","Cameron","Y"
"48002019001",1183118,"TX","48151","Fisher","Y"
"48009029001",1184484,"TX","48399","Runnels","Y"
"48020780001",428136,"TX","48047","Brooks","Y"
"48001104003",1182908,"TX","48061","Cameron","Y"
"48004021001",1183337,"TX","48113","Dallas","Y"
"48001118001",1182919,"TX","48215","Hidalgo","Y"
"48005025001",1183584,"TX","48213","Henderson","Y"
"48007781002",429612,"TX","48291","Liberty","Y"
"48007033006",2881937,"TX","48201","Harris","Y"
"48004372001",1183540,"TX","48349","Navarro","Y"
"48005025002",1183585,"TX","48213","Henderson","Y"
"48006046001",1183708,"TX","48373","Polk","Y"
"48007039005",1183823,"TX","48201","Harris","Y"
"48001225001",1183006,"TX","48355","Nueces","Y"
"48001125005",3515818,"TX","48479","Webb","Y"
"48002028001",1183123,"TX","48253","Jones","Y"
"48008138001",1184445,"TX","48089","Colorado","Y"
"48001139001",1182942,"TX","48283","La Salle","Y"
"48003026001",1183188,"TX","48309","McLennan","Y"
"48007039113",2882180,"TX","48201","Harris","Y"
"48004354017",3534356,"TX","48085","Collin","Y"
"48003006001",1183170,"TX","48027","Bell","Y"
"48001218002",1182998,"TX","48025","Bee","Y"
"48005071001",1183620,"TX","48183","Gregg","Y"
"48005015002",1183577,"TX","48423","Smith","Y"
"48001151001",1182954,"TX","48163","Frio","Y"
"48001243001",1183021,"TX","48057","Calhoun","Y"
"48004065001",1183380,"TX","48139","Ellis","Y"
"48008058001",1227940,"TX","48089","Colorado","Y"
"48004094001",1227847,"TX","48251","Johnson","Y"
"48007039081",1183849,"TX","48201","Harris","Y"
"48004145001",1183454,"TX","48497","Wise","Y"
"48007039066",1183842,"TX","48201","Harris","Y"
"48001684001",3150468,"TX","48201","Harris","Y"
"48007488001",1184098,"TX","48167","Galveston","Y"
"48001012001",1182883,"TX","48141","El Paso","Y"
"48001057001",3515316,"TX","48267","Kimble","Y"
"48004217001",1183470,"TX","48097","Cooke","Y"
"48001130001",1182933,"TX","48131","Duval","Y"
"48007039007",1183825,"TX","48201","Harris","Y"
"48003073001",1183224,"TX","48093","Comanche","Y"
"48002079002",435410,"TX","48249","Jim Wells","Y"
"48001333002",436916,"TX","48061","Cameron","Y"
"48007039065",1183841,"TX","48201","Harris","Y"
"48007039067",2883822,"TX","48201","Harris","Y"
"48000000112",3609242,"TX","48157","Fort Bend","Y"
"48000000103",3608783,"TX","48227","Howard","Y"
"48000000104",3608872,"TX","48249","Jim Wells","Y"
"48001148001",1182951,"TX","48427","Starr","Y"
"48001107003",412991,"TX","48061","Cameron","Y"
"48007039076",1183846,"TX","48201","Harris","Y"
"48003224001",1183290,"TX","48313","Madison","Y"
"48005020002",1227871,"TX","48203","Harrison","Y"
"48002031001",1183125,"TX","48441","Taylor","Y"
"48002031001",1183125,"TX","48253","Jones",""
"48004104001",1183410,"TX","48257","Kaufman","Y"
"48006074001",1183728,"TX","48005","Angelina","Y"
"48004044001",1183363,"TX","48113","Dallas","Y"
"48007826003",1184289,"TX","48339","Montgomery","Y"
"48008028001",1184372,"TX","48091","Comal","Y"
"48006049001",1183712,"TX","48455","Trinity","Y"
"48001417002",459628,"TX","48409","San Patricio","Y"
"48001114001",1227764,"TX","48215","Hidalgo","Y"
"48003290001",1227830,"TX","48289","Leon","Y"
"48000000113",3609250,"TX","48497","Wise","Y"
"48004261001",1227861,"TX","48097","Cooke","Y"
"48000000108",3609159,"TX","48453","Travis","Y"
"48003001001",1183166,"TX","48027","Bell","Y"
"48001111001",1182915,"TX","48215","Hidalgo","Y"
"48007465001",1184088,"TX","48157","Fort Bend","Y"
"48004213001",1183466,"TX","48363","Palo Pinto","Y"
